seed,baseline,throughput_total_mbps,urllc_latency_mean_ms,urllc_latency_p95_ms,urllc_latency_p99_ms,sla_violation_pct,jain_fairness,pdr_pct,action_churn_per_s,unsafe_actions_applied,queue_peak_depth,energy_efficiency_index
1028,B1,102.25,1.85,2.35,2.39,0.0,0.9967,96.82,5.0,0,231,1.03
1029,B1,104.03,3.98,21.55,51.47,7.83,0.9972,98.19,5.0,0,288,1.03
1030,B1,101.99,3.48,11.82,41.56,8.28,0.9961,97.4,5.0,0,281,1.03
1001,B2,71.03,1.85,2.35,2.39,0.0,0.9743,69.39,0.0,0,400,1.08
1002,B2,68.33,1.85,2.34,2.39,0.0,0.9514,67.73,0.0,0,400,1.08
1003,B2,74.77,1.86,2.35,2.39,0.0,0.9761,72.73,0.0,0,400,1.08
1004,B2,63.15,1.85,2.35,2.39,0.0,0.9609,63.11,0.0,0,400,1.08
1005,B2,61.35,1.85,2.35,2.39,0.0,0.9572,60.9,0.0,0,400,1.08
1006,B2,71.61,1.85,2.34,2.39,0.0,0.9792,70.12,0.0,0,400,1.08
1007,B2,69.75,1.85,2.34,2.39,0.0,0.9618,68.71,0.0,0,400,1.08
1008,B2,71.64,1.85,2.34,2.39,0.0,0.9787,70.27,0.0,0,400,1.08
1009,B2,71.12,1.85,2.35,2.39,0.0,0.9774,68.93,0.0,0,400,1.08
1010,B2,70.97,1.85,2.35,2.39,0.0,0.9714,69.68,0.0,0,400,1.08
1011,B2,65.37,1.85,2.35,2.39,0.0,0.9489,64.9,0.0,0,400,1.08
1012,B2,65.14,1.85,2.34,2.39,0.0,0.9694,64.1,0.0,0,400,1.08
1013,B2,64.86,1.85,2.35,2.39,0.0,0.9606,64.07,0.0,0,400,1.08
1014,B2,67.54,1.85,2.35,2.39,0.0,0.9763,66.4,0.0,0,400,1.08
1015,B2,65.19,1.85,2.35,2.39,0.0,0.9679,64.45,0.0,0,400,1.08
1016,B2,71.14,1.85,2.34,2.39,0.0,0.987,69.31,0.0,0,400,1.08
1017,B2,63.19,1.85,2.35,2.39,0.0,0.9459,63.2,0.0,0,400,1.08
1018,B2,66.86,1.85,2.34,2.39,0.0,0.9673,65.79,0.0,0,400,1.08
1019,B2,72.46,1.85,2.35,2.39,0.0,0.9767,69.91,0.0,0,400,1.08
1020,B2,67.57,1.85,2.34,2.39,0.0,0.982,66.45,0.0,0,400,1.08
1021,B2,73.31,1.85,2.34,2.39,0.0,0.9802,71.67,0.0,0,400,1.08
1022,B2,72.99,1.85,2.34,2.39,0.0,0.9772,71.57,0.0,0,400,1.08
1023,B2,72.33,1.85,2.34,2.39,0.0,0.977,71.29,0.0,0,400,1.08
1024,B2,65.61,1.85,2.34,2.39,0.0,0.9531,64.53,0.0,0,400,1.08
1025,B2,64.41,1.85,2.35,2.39,0.0,0.9489,63.56,0.0,0,400,1.08
1026,B2,62.98,1.85,2.34,2.39,0.0,0.955,62.94,0.0,0,400,1.08
1027,B2,68.13,1.85,2.34,2.39,0.0,0.9737,66.95,0.0,0,400,1.08
1028,B2,69.5,1.85,2.34,2.39,0.0,0.9679,68.27,0.0,0,400,1.08
1029,B2,68.78,1.85,2.35,2.39,0.0,0.9754,67.21,0.0,0,400,1.08
1030,B2,68.11,1.85,2.35,2.39,0.0,0.9726,67.43,0.0,0,400,1.08
1001,B3,91.92,1.85,2.34,2.39,0.0,0.9933,87.45,10.0,0,400,1.145
1002,B3,86.77,1.84,2.34,2.39,0.0,0.9793,83.1,10.0,0,379,1.145
1003,B3,93.66,1.85,2.35,2.39,0.0,0.9941,89.59,10.0,0,394,1.145
1004,B3,84.6,1.85,2.34,2.39,0.0,0.993,81.95,10.0,0,400,1.145
1005,B3,83.19,1.85,2.34,2.39,0.0,0.9893,79.49,10.0,0,400,1.145
1006,B3,92.11,1.85,2.35,2.39,0.0,0.9972,87.92,10.0,0,400,1.145
1007,B3,89.24,1.84,2.34,2.39,0.0,0.9817,85.98,10.0,0,387,1.145
1008,B3,92.94,1.85,2.35,2.39,0.0,0.9969,87.98,10.0,0,400,1.145
1009,B3,92.96,1.85,2.34,2.39,0.0,0.9913,87.99,10.0,0,400,1.145
