num_xapps,rounds_measured,mean_latency_ms,std_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,proposals_per_sec,cpu_util_pct,memory_peak_mb,missed_deadlines_count,miss_rate_pct
2,200,0.3057,0.1525,0.2565,0.5632,1.0747,1.28,6098.4,95.3,0.36,0,0.0
5,200,0.8977,0.1644,0.8516,1.1444,1.681,2.1205,5276.2,100.0,0.98,0,0.0
10,200,2.1952,0.4363,2.0221,3.3407,3.9375,3.9796,4344.7,100.0,2.15,0,0.0
20,200,7.4371,1.4339,7.0067,8.4745,10.6027,20.3042,2566.7,100.0,4.57,3,1.5
50,200,36.0727,4.6755,34.7553,48.0951,53.992,59.4734,1312.2,98.8,11.1,200,100.0
100,200,174.8913,15.6725,169.3415,204.8023,223.4292,265.1897,544.5,97.5,25.17,200,100.0
