Num_xApps,T_decision_Mean_ms,T_decision_Std_ms,T_decision_P50_ms,T_decision_P95_ms,T_decision_P99_ms,T_decision_Max_ms,Throughput_Proposals_sec,CPU_Percent,RAM_Peak_MB,Avg_Queue_Depth,Max_Queue_Depth
2,0.0315,0.0298,0.0232,0.0613,0.1238,0.6436,21614.6,67.55,0.21,2,2
5,0.0391,0.0133,0.0409,0.0567,0.0809,0.2049,37205.7,93.01,0.26,5,5
10,0.0434,0.0193,0.0423,0.0629,0.1141,0.2768,50748.6,95.15,0.26,10,10
20,0.0597,0.0186,0.0667,0.0801,0.1113,0.1808,53716.1,100.0,0.26,20,20
50,0.0857,0.0295,0.0861,0.1201,0.178,0.4325,62449.1,95.63,0.29,50,50
100,0.1366,0.0391,0.1361,0.2008,0.276,0.3224,62107.8,97.04,0.34,100,100
