Baseline,Estratégia,Throughput_Mean_Mbps,Latency_Mean_ms,P95_Latency_ms,SLA_Violations_Pct,Jain_Fairness,Decision_Latency_ms,Action_Churn_rate,Unsafe_Actions_Applied
B0,NO_COORDINATION,86.0,17.73,24.43,36.7,0.52,0.0,1.0,0
B1,FIFO_QUEUE,89.2,15.13,20.93,24.0,0.65,0.04,0.85,0
B2,STATIC_PRIORITY,92.9,13.43,18.13,12.5,0.78,0.08,0.4,0
B3,H_RDL_DETERMINISTIC,102.5,11.23,13.73,0.0,0.94,0.12,0.05,0
B4,CONTEXT_AWARE_HEURISTIC,100.0,12.03,15.13,2.5,0.91,0.45,0.08,0
B5,CONTEXT_KNOWLEDGE_GRAPH,104.3,10.73,12.83,0.0,0.95,0.85,0.06,0
B6,SAFE_MAPPO,106.6,9.63,11.13,0.0,0.97,1.84,0.1,0
