Variant,Description,N,Throughput_Mean_Mbps,Throughput_Std,Delta_Throughput_Mbps,Lat_P95_Mean_ms,Lat_P95_Std,Delta_Latency_ms,SLA_Viol_Mean_pct,SLA_Viol_Std,Jain_Fairness_Mean,Action_Churn_Mean_per_s,Unsafe_Actions_Total,Queue_Peak_Mean,Wilcoxon_p_vs_A0,Cohen_dz_Lat_vs_A0
A0_Full_HRDL,H-RDL Completa (Todos os módulos ativos),30,89.26,3.49,0.0,2.34,0.0,0.0,0.0,0.0,0.9905,10.0,0,398.5,1.0000,0.0
A1_wo_Memory,w/o Memory Module (Sem cooling window / histórico anti-flapping),30,89.42,2.55,0.15,7.79,12.48,5.44,3.02,3.21,0.994,5.0,0,403.5,1.17e-05,0.44
A2_wo_Indirect_Detection,w/o Indirect Detection (Apenas colisão direta),30,96.22,3.64,6.95,75.41,58.78,73.07,21.83,9.89,0.9913,5.0,0,377.8,1.73e-06,1.24
A3_wo_TVS_EEVS,w/o TVS/EEVS Utility (Arbitragem ingênua FIFO),30,100.41,2.25,11.14,4.89,9.2,2.55,1.14,2.49,0.9958,5.0,0,337.0,0.0036,0.28
A4_wo_Safety_Guard,w/o Safety Guard (Sem projeção Pi_A_safe e boundary clipping),30,98.33,2.15,9.07,10.27,9.94,7.93,6.28,4.98,0.9962,3.2,480,387.1,8.26e-06,0.8
A5_wo_Windowing,w/o Windowing (Orientado a eventos imediato),30,80.21,3.99,-9.06,5.56,8.59,3.22,2.8,4.4,0.9853,15.0,0,402.7,3.10e-04,0.37
