seed,variant,throughput_mbps,latency_mean_ms,latency_p95_ms,latency_p99_ms,sla_violation_pct,jain_fairness,pdr_pct,action_churn_per_s,unsafe_actions_applied,queue_peak_depth
1024,A1_wo_Memory,87.14,2.26,2.39,11.87,3.78,0.9895,83.3,5.0,0,402
1025,A1_wo_Memory,86.16,2.08,2.37,11.71,2.14,0.9914,82.4,5.0,0,403
1026,A1_wo_Memory,85.46,2.56,11.38,21.58,5.46,0.991,82.42,5.0,0,406
1027,A1_wo_Memory,90.62,1.85,2.35,2.39,0.0,0.9976,86.19,5.0,0,400
1028,A1_wo_Memory,89.82,2.01,2.36,11.58,1.5,0.994,85.99,5.0,0,402
1029,A1_wo_Memory,90.58,3.11,11.72,31.68,6.97,0.9972,86.21,5.0,0,410
1030,A1_wo_Memory,89.46,3.59,21.36,41.42,8.13,0.994,85.89,5.0,0,408
1001,A2_wo_Indirect_Detection,98.56,8.03,31.95,51.96,28.25,0.9936,93.43,5.0,0,343
1002,A2_wo_Indirect_Detection,91.74,1.99,2.35,11.33,1.05,0.98,88.05,5.0,0,294
1003,A2_wo_Indirect_Detection,98.82,3.27,11.88,31.64,8.2,0.9969,94.33,5.0,0,268
1004,A2_wo_Indirect_Detection,93.46,19.18,121.91,191.8,31.53,0.9942,89.02,5.0,0,436
1005,A2_wo_Indirect_Detection,92.62,5.82,31.68,71.87,13.8,0.9905,87.76,5.0,0,417
1006,A2_wo_Indirect_Detection,99.67,16.77,161.59,231.97,19.73,0.9954,94.64,5.0,0,348
1007,A2_wo_Indirect_Detection,94.86,14.42,141.83,191.61,12.44,0.979,90.55,5.0,0,343
1008,A2_wo_Indirect_Detection,100.27,6.72,31.88,61.92,20.89,0.9976,94.82,5.0,0,343
1009,A2_wo_Indirect_Detection,99.02,17.51,101.47,181.95,25.84,0.9916,94.02,5.0,0,427
1010,A2_wo_Indirect_Detection,98.19,16.88,161.48,211.87,24.8,0.9906,92.79,5.0,0,389
1011,A2_wo_Indirect_Detection,90.54,4.27,21.44,31.49,17.18,0.9817,86.71,5.0,0,317
1012,A2_wo_Indirect_Detection,96.63,5.05,31.31,51.5,14.21,0.997,90.85,5.0,0,397
1013,A2_wo_Indirect_Detection,91.91,13.4,71.9,101.61,26.48,0.9878,88.16,5.0,0,389
