seed,scenario,urllc_latency_mean_ms,urllc_latency_p99_ms,urllc_sla_violation_pct,conflict_occurrence_pct,throughput_total_mbps,pdr_pct,jain_fairness,ping_pong_ev_min,mean_tx_power_dbm,decision_latency_ms
1001,Baseline,12.0351137487636,15.2041928721174,100.0,34.67,501.144,39.77333333333333,0.9800680534818037,22.0,39.01,0.0
1002,Baseline,11.197888975762313,14.28179419525066,100.0,34.67,482.58,38.3,0.9752255087242802,22.0,39.01,0.0
1003,Baseline,11.545127670661802,15.520915032679737,100.0,34.67,447.048,35.480000000000004,0.9759671439565875,22.0,39.01,0.0
1004,Baseline,12.548447653429601,14.705749486652977,100.0,34.67,506.184,40.17333333333333,0.9626702095409733,22.0,39.01,0.0
1005,Baseline,11.792765190525232,14.9760989010989,100.0,34.67,503.916,39.99333333333333,0.9717243557108314,22.0,39.01,0.0
1006,Baseline,10.925961017866811,13.608126410835215,100.0,34.67,493.54200000000003,39.17,0.9824615397750498,22.0,39.01,0.0
1007,Baseline,12.349522546419095,14.74275534441805,100.0,34.67,483.126,38.343333333333334,0.9743202184225509,22.0,39.01,0.0
1008,Baseline,11.113957385683506,12.680222222222223,100.0,34.67,481.61400000000003,38.22333333333333,0.9647642425561761,22.0,39.01,0.0
1009,Baseline,10.589352112676055,12.595483870967742,100.0,34.67,477.288,37.88,0.964314209011502,22.0,39.01,0.0
1010,Baseline,11.515425383542539,15.372413793103448,100.0,34.67,473.718,37.596666666666664,0.9685230454277435,22.0,39.01,0.0
1011,Baseline,12.561244877049182,15.517934782608696,100.0,34.67,472.962,37.53666666666667,0.9790190949845258,22.0,39.01,0.0
1012,Baseline,12.176115267387086,15.81934604904632,100.0,34.67,473.76,37.6,0.9698242449658674,22.0,39.01,0.0
1013,Baseline,11.627352637021717,13.775217391304347,100.0,34.67,496.608,39.413333333333334,0.9668239371449191,22.0,39.01,0.0
1014,Baseline,11.258603189946836,15.769190600522194,100.0,34.67,511.77,40.61666666666667,0.9810674307237894,22.0,39.01,0.0
1015,Baseline,12.428857983418027,16.49636363636364,100.0,34.67,499.548,39.64666666666667,0.977621018122312,22.0,39.01,0.0
1016,Baseline,11.617387325554795,14.055670103092783,100.0,34.67,511.14,40.56666666666667,0.9797583892972622,22.0,39.01,0.0
1017,Baseline,12.334383394383394,16.135740072202168,100.0,34.67,490.01399999999995,38.89,0.9776828984756513,22.0,39.01,0.0
1018,Baseline,11.455018106570096,14.838020833333333,100.0,34.67,487.536,38.693333333333335,0.9637392368856439,22.0,39.01,0.0
1019,Baseline,11.831153939985365,13.854959785522789,100.0,34.67,501.81600000000003,39.82666666666667,0.9637190728943212,22.0,39.01,0.0
1020,Baseline,11.484132563394425,14.671331828442437,100.0,34.67,490.60200000000003,38.93666666666667,0.9797401888124627,22.0,39.01,0.0
1021,Baseline,11.539747327502429,14.749030470914127,100.0,34.67,487.284,38.67333333333333,0.9701236596570277,22.0,39.01,0.0
1022,Baseline,11.995896616040502,14.495633187772926,100.0,34.67,488.88,38.800000000000004,0.969310490475847,22.0,39.01,0.0
1023,Baseline,11.86580506192784,15.100877192982457,100.0,34.67,491.23199999999997,38.986666666666665,0.9754080635275386,22.0,39.01,0.0
1024,Baseline,11.546661914944167,13.35365296803653,100.0,34.67,505.722,40.13666666666666,0.9630063497611208,22.0,39.01,0.0
1025,Baseline,12.54147476157246,17.11866028708134,100.0,34.67,521.346,41.376666666666665,0.9818942621765634,22.0,39.01,0.0
1026,Baseline,12.236179450072358,15.120556745182014,100.0,34.67,498.53999999999996,39.56666666666667,0.9756919255250225,22.0,39.01,0.0
1027,Baseline,12.310822401614528,13.989750692520776,100.0,34.67,484.05,38.416666666666664,0.9769306084287109,22.0,39.01,0.0
1028,Baseline,10.979933017024841,12.455113636363636,100.0,34.67,469.266,37.24333333333333,0.964450444257327,22.0,39.01,0.0
1029,Baseline,11.311205479452052,12.996026490066225,100.0,34.67,492.702,39.10333333333333,0.9711972005181454,22.0,39.01,0.0
1030,Baseline,11.433610292146879,18.179157894736843,100.0,34.67,490.392,38.92,0.974126302250804,22.0,39.01,0.0
1001,RDL_Phase1,2.872631367426906,3.255955955955956,0.0,0.67,1253.826,99.51,0.9999912916086149,0.0,33.89,14.2
1002,RDL_Phase1,2.77364185110664,3.146277665995976,0.0,0.67,1252.6499999999999,99.41666666666666,0.999990955986208,0.0,33.89,14.2
1003,RDL_Phase1,2.838010460671897,3.2936363636363635,0.0,0.67,1250.844,99.27333333333334,0.9999908723534023,0.0,33.89,14.2
1004,RDL_Phase1,2.9475951400743043,3.1966966966966965,0.0,0.67,1253.616,99.49333333333334,0.9999866025384417,0.0,33.89,14.2
