seed,scenario,source,urllc_latency_mean_ms,urllc_latency_p99_ms,urllc_sla_violation_pct,conflict_occurrence_pct,throughput_total_mbps,pdr_pct,jain_fairness,ping_pong_ev_min,mean_tx_power_dbm,decision_latency_ms
1022,RDL_Phase1,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,0.0,31.25,100.0,0.5755,0.0,33.5,5.12
1023,Baseline,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,100.0,120.88,100.0,0.4927,0.0,43.0,0.0
1023,RDL_Phase1,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,0.0,31.25,100.0,0.5755,0.0,33.5,5.12
1024,Baseline,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,100.0,120.88,100.0,0.4927,0.0,43.0,0.0
1024,RDL_Phase1,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,0.0,31.25,100.0,0.5755,0.0,33.5,5.12
1025,Baseline,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,100.0,120.88,100.0,0.4927,0.0,43.0,0.0
1025,RDL_Phase1,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,0.0,31.25,100.0,0.5755,0.0,33.5,5.12
1026,Baseline,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,100.0,120.88,100.0,0.4927,0.0,43.0,0.0
1026,RDL_Phase1,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,0.0,31.25,100.0,0.5755,0.0,33.5,5.12
1027,Baseline,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,100.0,120.88,100.0,0.4927,0.0,43.0,0.0
1027,RDL_Phase1,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,0.0,31.25,100.0,0.5755,0.0,33.5,5.12
1028,Baseline,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,100.0,120.88,100.0,0.4927,0.0,43.0,0.0
1028,RDL_Phase1,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,0.0,31.25,100.0,0.5755,0.0,33.5,5.12
1029,Baseline,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,100.0,120.88,100.0,0.4927,0.0,43.0,0.0
1029,RDL_Phase1,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,0.0,31.25,100.0,0.5755,0.0,33.5,5.12
1030,Baseline,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,100.0,120.88,100.0,0.4927,0.0,43.0,0.0
1030,RDL_Phase1,DISCRETE_EVENT_SIMULATOR,10.0,10.0,100.0,0.0,31.25,100.0,0.5755,0.0,33.5,5.12
